team_name,team_code,team_founded,team_logo,venue_name,venue_address,venue_city,venue_capacity,venue_image,team_age
LORCA FC,,2003.0,https://media.api-sports.io/football/teams/721.png,Estadio Francisco Artés Carrasco,Carratera de Granada,Lorca,8120.0,https://media.api-sports.io/football/venues/2918.png,22.0
ALBACETE,ALB,1940.0,https://media.api-sports.io/football/teams/722.png,Estadio Carlos Belmonte,Avenida de España,Albacete,17524.0,https://media.api-sports.io/football/venues/1458.png,85.0
ALMERIA,ALM,1989.0,https://media.api-sports.io/football/teams/723.png,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Calle de Belladona,Almería,21350.0,https://media.api-sports.io/football/venues/19216.png,36.0
CADIZ,CAD,1910.0,https://media.api-sports.io/football/teams/724.png,Estadio Nuevo Mirandilla,Plaza de Madrid,Cádiz,22000.0,https://media.api-sports.io/football/venues/11915.png,115.0
CULTURAL LEONESA,CUL,1923.0,https://media.api-sports.io/football/teams/725.png,Estadio Municipal Reino de León,Paseo Sáenz de Miera,León,13451.0,https://media.api-sports.io/football/venues/2916.png,102.0
HUESCA,HUE,1922.0,https://media.api-sports.io/football/teams/726.png,Estadio El Alcoraz,Camino del Alto Cocorón,Huesca,9128.0,https://media.api-sports.io/football/venues/1480.png,103.0
OSASUNA,OSA,1920.0,https://media.api-sports.io/football/teams/727.png,Estadio El Sadar,Carretera El Sadar,Iruñea,23576.0,https://media.api-sports.io/football/venues/1486.png,105.0
RAYO VALLECANO,RAY,1924.0,https://media.api-sports.io/football/teams/728.png,Estadio de Vallecas,Calle Payaso Fofó,Madrid,15500.0,https://media.api-sports.io/football/venues/1488.png,101.0
REUS,REU,1909.0,https://media.api-sports.io/football/teams/729.png,Estadio Camp Nou Municipal,Calle Recasens i Mercadé 8,Reus,4847.0,https://media.api-sports.io/football/venues/1468.png,116.0
SEVILLA ATLETICO,SEV,,https://media.api-sports.io/football/teams/730.png,Estadio Jesús Navas,Carretera de Utrera,Sevilla,7000.0,https://media.api-sports.io/football/venues/2919.png,
SPORTING GIJON,GIJ,1905.0,https://media.api-sports.io/football/teams/731.png,Estadio Municipal El Molinón,Parque de Isabel la Católica,Gijón,29538.0,https://media.api-sports.io/football/venues/1495.png,120.0
ZARAGOZA,ZAR,1932.0,https://media.api-sports.io/football/teams/732.png,Estadio de la Romareda,Calle de Eduardo Ibarra 6,Zaragoza,34596.0,https://media.api-sports.io/football/venues/1493.png,93.0
ELCHE,ELC,1923.0,https://media.api-sports.io/football/teams/797.png,Estadio Manuel Martínez Valero,Avenida Manuel Martínez Valero 3,Elche,36017.0,https://media.api-sports.io/football/venues/1473.png,102.0
MALLORCA,MAL,1916.0,https://media.api-sports.io/football/teams/798.png,Estadi Mallorca Son Moix,Camí dels Reis,Palma de Mallorca,23142.0,https://media.api-sports.io/football/venues/19940.png,109.0
MIRANDES,MIR,1927.0,https://media.api-sports.io/football/teams/799.png,Estadio Municipal de Anduva,Camino de Anduva,Miranda de Ebro,6000.0,https://media.api-sports.io/football/venues/2920.png,98.0
UCAM MURCIA,,2009.0,https://media.api-sports.io/football/teams/800.png,Estadio BeSoccer La Condomina,Ronda de Garay 14,Murcia,16500.0,https://media.api-sports.io/football/venues/21291.png,16.0
EXTREMADURA,,2007.0,https://media.api-sports.io/football/teams/860.png,Estadio Francisco de la Hera,Calle de Badajoz,Almendralejo,11580.0,https://media.api-sports.io/football/venues/1475.png,18.0
RAYO MAJADAHONDA,,1976.0,https://media.api-sports.io/football/teams/861.png,Miniestadio Cerro del Espino,Avenida del Principe de Asturias,Majadahonda,3865.0,https://media.api-sports.io/football/venues/1487.png,49.0
UD TACUENSE W,,,https://media.api-sports.io/football/teams/1904.png,,,,,,
ATHLETIC CLUB W,,,https://media.api-sports.io/football/teams/1905.png,Instalaciones de Lezama Campo 2,Calle Garaioltza Auzoa 147,Lezama,2925.0,https://media.api-sports.io/football/venues/12288.png,
OIARTZUN KE W,,,https://media.api-sports.io/football/teams/1906.png,,,,,,
REAL BETIS W,,,https://media.api-sports.io/football/teams/1907.png,,,,,,
SANTA TERESA W,,,https://media.api-sports.io/football/teams/1908.png,,,,,,
VALENCIA W,,,https://media.api-sports.io/football/teams/1909.png,,,,,,
ATLETICO MADRID W,,,https://media.api-sports.io/football/teams/1910.png,Centro Deportivo Wanda Alcalá de Henares,Avenida Gustavo Adolfo Bécquer 64,Alcalá de Henares,2700.0,https://media.api-sports.io/football/venues/22050.png,
